Rule,File,Line,Column,Severity,Message
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/app/services/openai_client.py,136,29,information,"Cannot access attribute ""parsed"" for class ""ParsedResponse[Any]""
  Attribute ""parsed"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/app/worker/tasks/case_tasks.py,236,46,information,"Cannot access attribute ""ilike"" for class ""str""
  Attribute ""ilike"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/app/worker/tasks/case_tasks.py,237,51,information,"Cannot access attribute ""ilike"" for class ""str""
  Attribute ""ilike"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/app/worker/tasks/case_tasks.py,238,46,information,"Cannot access attribute ""ilike"" for class ""str""
  Attribute ""ilike"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/app/worker/tasks/ingestion_pipeline.py,24,28,information,"""generate_statute_embeddings"" is unknown import symbol"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/app/worker/tasks/pdf2chunks.py,140,28,information,"Cannot access attribute ""group"" for class ""str""
  Attribute ""group"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/app/worker/tasks/preprocess_sn_o3.py,150,26,information,"Cannot access attribute ""get_response"" for class ""CoroutineType[Any, Any, ParsedResponse[Unknown]]""
  Attribute ""get_response"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/app/worker/tasks/search_tasks.py,232,43,information,"Cannot access attribute ""get"" for class ""RulingPayload""
  Attribute ""get"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/app/worker/tasks/search_tasks.py,233,45,information,"Cannot access attribute ""get"" for class ""RulingPayload""
  Attribute ""get"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/app/worker/tasks/search_tasks.py,234,43,information,"Cannot access attribute ""get"" for class ""RulingPayload""
  Attribute ""get"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/app/worker/tasks/search_tasks.py,235,51,information,"Cannot access attribute ""get"" for class ""RulingPayload""
  Attribute ""get"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/app/worker/tasks/search_tasks.py,236,40,information,"Cannot access attribute ""get"" for class ""RulingPayload""
  Attribute ""get"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/app/worker/tasks/search_tasks.py,237,41,information,"Cannot access attribute ""get"" for class ""RulingPayload""
  Attribute ""get"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/example_logger_usage.py,4,39,information,"""LOGGING_CONFIG"" is unknown import symbol"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/example_logger_usage.py,7,5,information,"""configure_logging"" is unknown import symbol"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/example_logger_usage.py,8,5,information,"""logger_manager"" is unknown import symbol"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/example_logger_usage.py,9,5,information,"""LOGGING_PRESETS"" is unknown import symbol"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/example_logger_usage.py,10,5,information,"""wrap_all_loggers"" is unknown import symbol"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/example_service_logging.py,4,36,information,"""service_operation_logger"" is unknown import symbol"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/ingest_pipeline.py,46,35,information,"Cannot access attribute ""qdrant"" for class ""Dict[Unknown, Unknown]""
  Attribute ""qdrant"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/ingest_pipeline.py,47,35,information,"Cannot access attribute ""qdrant"" for class ""Dict[Unknown, Unknown]""
  Attribute ""qdrant"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/ingest_pipeline.py,48,38,information,"Cannot access attribute ""qdrant"" for class ""Dict[Unknown, Unknown]""
  Attribute ""qdrant"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/ingest_pipeline.py,48,82,information,"Cannot access attribute ""qdrant"" for class ""Dict[Unknown, Unknown]""
  Attribute ""qdrant"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/ingest_pipeline.py,49,39,information,"Cannot access attribute ""qdrant"" for class ""Dict[Unknown, Unknown]""
  Attribute ""qdrant"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/ingest_pipeline.py,50,38,information,"Cannot access attribute ""storage"" for class ""Dict[Unknown, Unknown]""
  Attribute ""storage"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/ingest_pipeline.py,50,62,information,"Cannot access attribute ""storage"" for class ""Dict[Unknown, Unknown]""
  Attribute ""storage"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/ingest_pipeline.py,51,36,information,"Cannot access attribute ""storage"" for class ""Dict[Unknown, Unknown]""
  Attribute ""storage"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/ingest_pipeline.py,51,60,information,"Cannot access attribute ""storage"" for class ""Dict[Unknown, Unknown]""
  Attribute ""storage"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/ingest_pipeline.py,65,44,information,"Cannot access attribute ""postgres"" for class ""Dict[Unknown, Unknown]""
  Attribute ""postgres"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/preprocess_sn.py,74,26,information,"Cannot access attribute ""get_text"" for class ""Page""
  Attribute ""get_text"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/preprocess_sn.py,129,16,information,"""open"" is not a known attribute of module ""fitz"""
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/preprocess_sn_o3.py,133,16,information,"""open"" is not a known attribute of module ""fitz"""
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/preprocess_sn_o3.py,334,42,information,"Cannot access attribute ""entities"" for class ""BaseModel""
  Attribute ""entities"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/preprocess_sn_o3.py,442,24,information,"Cannot access attribute ""invoke"" for class ""OpenAIService""
  Attribute ""invoke"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/preprocess_sn_o3.py,492,28,information,"Cannot access attribute ""paragraphs"" for class ""List[bytes]""
  Attribute ""paragraphs"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/preprocess_sn_o3.py,656,39,information,"Cannot assign to attribute ""name"" for class ""Ruling""
  Type ""str | None"" is not assignable to type ""str""
    ""None"" is not assignable to ""str"""
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/refactored_ingest_pipeline.py,298,53,information,"Cannot access attribute ""get_ingestion_status"" for class ""None""
  Attribute ""get_ingestion_status"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/refactored_ingest_pipeline.py,299,49,information,"Cannot access attribute ""get_sn_processing_status"" for class ""None""
  Attribute ""get_sn_processing_status"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/refactored_ingest_pipeline.py,300,56,information,"Cannot access attribute ""get_embedding_statistics"" for class ""None""
  Attribute ""get_embedding_statistics"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/templates_preprocess.py,84,24,information,"""open"" is not a known attribute of module ""fitz"""
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/conftest.py,55,22,information,"Cannot access attribute ""close"" for class ""DatabaseManager""
  Attribute ""close"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_api.py,21,26,information,"""AsyncSessionLocal"" is unknown import symbol"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_api.py,21,45,information,"""init_db"" is unknown import symbol"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_integration.py,14,5,information,"""initialize_services"" is unknown import symbol"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_integration.py,481,48,information,"""cached_query"" is unknown import symbol"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_integration_refactored.py,16,37,information,"""setup_structured_logging"" is unknown import symbol"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_integration_refactored.py,17,26,information,"""initialize_services"" is unknown import symbol"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_integration_refactored.py,190,42,information,"""get"" is not a known attribute of module ""app.core.service_container"""
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_integration_refactored.py,247,47,information,"""get"" is not a known attribute of module ""app.core.service_container"""
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_refactored_services.py,75,21,information,"Cannot assign to attribute ""_embedder"" for class ""StatuteSearchService""
  Attribute ""_embedder"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_refactored_services.py,76,21,information,"Cannot assign to attribute ""_llm"" for class ""StatuteSearchService""
  Attribute ""_llm"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_refactored_services.py,163,21,information,"Cannot assign to attribute ""_llm"" for class ""DocumentGenerationService""
  Attribute ""_llm"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_streaming.py,16,30,information,"""ParalegalAgent"" is unknown import symbol"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_streaming_handler.py,319,19,information,"Cannot assign to attribute ""transform"" for class ""MockStreamProcessor""
  Expression of type ""(event: StreamEvent) -> StreamEvent"" cannot be assigned to attribute ""transform"" of class ""MockStreamProcessor""
    ""FunctionType"" is not assignable to ""None"""
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_streaming_handler.py,378,26,information,"Cannot access attribute ""chunks_received"" for class ""MetricsCollector""
  Attribute ""chunks_received"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_streaming_handler.py,379,26,information,"Cannot access attribute ""events_by_type"" for class ""MetricsCollector""
  Attribute ""events_by_type"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_streaming_handler.py,380,26,information,"Cannot access attribute ""text_deltas"" for class ""MetricsCollector""
  Attribute ""text_deltas"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_streaming_handler.py,381,26,information,"Cannot access attribute ""tool_calls"" for class ""MetricsCollector""
  Attribute ""tool_calls"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_streaming_handler.py,382,26,information,"Cannot access attribute ""errors"" for class ""MetricsCollector""
  Attribute ""errors"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_streaming_handler.py,383,26,information,"Cannot access attribute ""start_time"" for class ""MetricsCollector""
  Attribute ""start_time"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_streaming_handler.py,402,19,information,"Cannot assign to attribute ""chunks_received"" for class ""MetricsCollector""
  Attribute ""chunks_received"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_streaming_handler.py,419,19,information,"Cannot assign to attribute ""chunks_received"" for class ""MetricsCollector""
  Attribute ""chunks_received"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_streaming_handler.py,420,19,information,"Cannot assign to attribute ""text_deltas"" for class ""MetricsCollector""
  Attribute ""text_deltas"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_streaming_handler.py,421,19,information,"Cannot assign to attribute ""errors"" for class ""MetricsCollector""
  Attribute ""errors"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_streaming_handler.py,425,26,information,"Cannot access attribute ""chunks_received"" for class ""MetricsCollector""
  Attribute ""chunks_received"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_streaming_handler.py,426,26,information,"Cannot access attribute ""text_deltas"" for class ""MetricsCollector""
  Attribute ""text_deltas"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_streaming_handler.py,427,26,information,"Cannot access attribute ""errors"" for class ""MetricsCollector""
  Attribute ""errors"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_streaming_handler.py,428,26,information,"Cannot access attribute ""events_by_type"" for class ""MetricsCollector""
  Attribute ""events_by_type"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/unit/test_tool_registry.py,166,25,information,"Cannot access attribute ""name"" for class ""BaseModel""
  Attribute ""name"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/unit/test_tool_registry.py,167,25,information,"Cannot access attribute ""age"" for class ""BaseModel""
  Attribute ""age"" is unknown"
reportAttributeAccessIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/unit/test_tool_registry.py,168,25,information,"Cannot access attribute ""active"" for class ""BaseModel""
  Attribute ""active"" is unknown"
reportCallIssue,/Volumes/code/cywil/ai-paralegal-poc/ingest/templates.py,137,30,error,"Argument missing for parameter ""type"""
reportCallIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_ai_functionality.py,343,20,error,"Arguments missing for parameters ""date"", ""reasoning"""
reportCallIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_ai_functionality.py,389,26,error,"Arguments missing for parameters ""case_number"", ""court"", ""date"", ""decision"", ""reasoning"""
reportCallIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_integration.py,296,20,error,"Argument missing for parameter ""config_service"""
reportCallIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_integration.py,397,24,error,"Argument missing for parameter ""config_service"""
reportCallIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_refactored_services.py,71,23,error,"Arguments missing for parameters ""config_service"", ""llm_manager"""
reportCallIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_refactored_services.py,314,13,error,"Arguments missing for parameters ""config_service"", ""llm_manager"""
reportCallIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_refactored_services.py,352,23,error,"Arguments missing for parameters ""config_service"", ""llm_manager"""
reportCallIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/unit/test_agent_sdk.py,23,13,error,"Arguments missing for parameters ""config_service"", ""conversation_manager"", ""tool_executor"""
reportCallIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/unit/test_agent_sdk.py,93,13,error,"Arguments missing for parameters ""config_service"", ""conversation_manager"", ""tool_executor"""
reportCallIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/unit/test_openai_integration.py,90,66,error,"Arguments missing for parameters ""request"", ""body"""
reportCallIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/unit/test_openai_integration.py,205,28,error,"Arguments missing for parameters ""date"", ""decision"", ""reasoning"""
reportCallIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/unit/test_openai_integration.py,217,30,error,"Arguments missing for parameters ""court"", ""date"", ""decision"", ""reasoning"""
reportCallIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/unit/test_openai_integration.py,393,20,error,"Arguments missing for parameters ""case_number"", ""court"", ""date"", ""decision"", ""reasoning"""
reportCallIssue,/Volumes/code/cywil/ai-paralegal-poc/tests/unit/test_tool_executor.py,31,20,error,"Argument missing for parameter ""config_service"""
reportIndexIssue,/Volumes/code/cywil/ai-paralegal-poc/app/worker/tasks/preprocess_sn_o3.py,388,28,error,"""__getitem__"" method not defined on type ""RulingParagraph"""
reportIndexIssue,/Volumes/code/cywil/ai-paralegal-poc/app/worker/tasks/preprocess_sn_o3.py,389,28,error,"""__getitem__"" method not defined on type ""RulingParagraph"""
reportIndexIssue,/Volumes/code/cywil/ai-paralegal-poc/app/worker/tasks/preprocess_sn_o3.py,390,25,error,"""__getitem__"" method not defined on type ""RulingParagraph"""
reportIndexIssue,/Volumes/code/cywil/ai-paralegal-poc/app/worker/tasks/preprocess_sn_o3.py,399,28,error,"""__getitem__"" method not defined on type ""RulingParagraph"""
reportIndexIssue,/Volumes/code/cywil/ai-paralegal-poc/app/worker/tasks/preprocess_sn_o3.py,400,28,error,"""__getitem__"" method not defined on type ""RulingParagraph"""
reportIndexIssue,/Volumes/code/cywil/ai-paralegal-poc/app/worker/tasks/preprocess_sn_o3.py,401,25,error,"""__getitem__"" method not defined on type ""RulingParagraph"""
reportIndexIssue,/Volumes/code/cywil/ai-paralegal-poc/app/worker/tasks/preprocess_sn_o3.py,402,52,error,"""__getitem__"" method not defined on type ""RulingParagraph"""
reportMissingImports,/Volumes/code/cywil/ai-paralegal-poc/tests/celery/conftest.py,1,8,error,"Import ""pytest"" could not be resolved"
reportMissingImports,/Volumes/code/cywil/ai-paralegal-poc/tests/celery/test_celery_integration.py,2,8,error,"Import ""pytest"" could not be resolved"
reportMissingImports,/Volumes/code/cywil/ai-paralegal-poc/tests/celery/test_celery_tasks.py,1,8,error,"Import ""pytest"" could not be resolved"
reportMissingImports,/Volumes/code/cywil/ai-paralegal-poc/tests/conftest.py,5,12,error,"Import ""pytest"" could not be resolved"
reportMissingImports,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/conftest.py,2,12,error,"Import ""pytest"" could not be resolved"
reportMissingImports,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_ai_functionality.py,7,8,error,"Import ""pytest"" could not be resolved"
reportMissingImports,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_api.py,2,8,error,"Import ""pytest"" could not be resolved"
reportMissingImports,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_conversation_manager.py,4,8,error,"Import ""pytest"" could not be resolved"
reportMissingImports,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_database_manager.py,4,8,error,"Import ""pytest"" could not be resolved"
reportMissingImports,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_embedding_pipeline.py,6,8,error,"Import ""pytest"" could not be resolved"
reportMissingImports,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_integration.py,5,8,error,"Import ""pytest"" could not be resolved"
reportMissingImports,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_integration_refactored.py,5,8,error,"Import ""pytest"" could not be resolved"
reportMissingImports,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_migration.py,2,8,error,"Import ""pytest"" could not be resolved"
reportMissingImports,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_openai_integration.py,7,8,error,"Import ""pytest"" could not be resolved"
reportMissingImports,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_refactored_services.py,5,8,error,"Import ""pytest"" could not be resolved"
reportMissingImports,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_streaming.py,2,8,error,"Import ""pytest"" could not be resolved"
reportMissingImports,/Volumes/code/cywil/ai-paralegal-poc/tests/integration/test_streaming_handler.py,4,8,error,"Import ""pytest"" could not be resolved"
